stop_id,station_id,stop_name,direction,latitude,longitude
14001,40450.0,95th Red Line Station,"95th Red Line Station, Eastbound, Bus Terminal",41.722772,-87.624065
14003,40450.0,95th Red Line Station,"95th Red Line Station, Eastbound, Southside of the Street",41.72154005,-87.62463063
14004,40450.0,95th Red Line Station,"95th Red Line Station, Southbound, Bus Terminal",41.721166,-87.623964
14006,40450.0,95th Red Line Station,"95th Red Line Station, Northbound, Bus Terminal",41.720868,-87.624612
14007,40450.0,95th Red Line Station,"95th Red Line Station, Southbound, Bus Terminal",41.721364,-87.623978
14008,40450.0,95th Red Line Station,"95th Red Line Station, Southbound, Bus Terminal",41.722043,-87.624018
14010,40450.0,95th Red Line Station,"95th Red Line Station, Southbound, Bus Terminal",41.722512,-87.624019
14011,40450.0,95th Red Line Station,"95th Red Line Station, Northbound, Bus Terminal",41.722663,-87.624856
14101,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.96977755,-87.7617398
14102,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.96984927,-87.76185025
14103,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.96980771,-87.76177878
14104,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.96974662,-87.76169065
14105,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.97032258,-87.76230848
14106,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.97027055,-87.7623552
14107,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.97022955,-87.76239649
14108,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.97044976,-87.76217613
14109,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.96968427,-87.76157886
14110,41280.0,Jefferson Park Transit Center,"Jefferson Park Transit Center, Southwestbound, Bus Terminal",41.96971762,-87.76163771
17037,41280.0,Jefferson Park Transit Center North Drop Off,,41.97007625,-87.76184249
17038,41280.0,Jefferson Park Transit Center South Drop Off,,41.96982527,-87.76112886
30001,40010.0,Austin-Blue,,41.870851,-87.776812
30002,40010.0,Austin-Blue,,41.870851,-87.776812
30003,40020.0,Harlem-Green,,41.886848,-87.803176
30004,40020.0,Harlem-Green,,41.886848,-87.803176
30005,40030.0,Pulaski-Green,,41.885412,-87.725404
30006,40030.0,Pulaski-Green,,41.885412,-87.725404
30007,40040.0,Quincy,,41.878723,-87.63374
30008,40040.0,Quincy,,41.878723,-87.63374
30009,40480.0,Cicero-Green,,41.886519,-87.744698
30010,40050.0,Davis,,42.04771,-87.683543
30011,40050.0,Davis,,42.04771,-87.683543
30012,40060.0,Belmont-Blue,,41.938132,-87.712359
30013,40060.0,Belmont-Blue,,41.938132,-87.712359
30014,40070.0,Jackson-Blue,,41.878183,-87.629296
30015,40070.0,Jackson-Blue,,41.878183,-87.629296
30016,40080.0,Sheridan,,41.953775,-87.654929
30017,40080.0,Sheridan,,41.953775,-87.654929
30018,40090.0,Damen-Brown,,41.966286,-87.678639
30019,40090.0,Damen-Brown,,41.966286,-87.678639
30020,40100.0,Morse,,42.008362,-87.665909
30021,40100.0,Morse,,42.008362,-87.665909
30022,40120.0,35th/Archer,,41.829353,-87.680622
30023,40120.0,35th/Archer,,41.829353,-87.680622
30024,40130.0,51st,,41.80209,-87.618487
30025,40130.0,51st,,41.80209,-87.618487
30026,40140.0,Dempster-Skokie,,42.038951,-87.751919
30027,40140.0,Dempster-Skokie,,42.038951,-87.751919
30028,40150.0,Pulaski-Cermak,,41.853732,-87.724311
30029,40150.0,Pulaski-Cermak,,41.853732,-87.724311
30030,40160.0,LaSalle/Van Buren,,41.8768,-87.631739
30031,40160.0,LaSalle/Van Buren,,41.8768,-87.631739
30032,40170.0,Ashland-Lake,,41.885269,-87.666969
30033,40170.0,Ashland-Lake,,41.885269,-87.666969
30034,40180.0,Oak Park-Blue,,41.872108,-87.791602
30035,40180.0,Oak Park-Blue,,41.872108,-87.791602
30036,40190.0,Sox-35th,,41.831191,-87.630636
30037,40190.0,Sox-35th,,41.831191,-87.630636
30040,40210.0,Damen-Cermak,,41.854517,-87.675975
30041,40210.0,Damen-Cermak,,41.854517,-87.675975
30042,40220.0,Western-Forest Park,,41.875478,-87.688436
30043,40220.0,Western-Forest Park,,41.875478,-87.688436
30044,40230.0,Cumberland,,41.984246,-87.838028
30045,40230.0,Cumberland,,41.984246,-87.838028
30046,40240.0,79th,,41.750419,-87.625112
30047,40240.0,79th,,41.750419,-87.625112
30048,40250.0,Kedzie-Homan,,41.874341,-87.70604
30049,40250.0,Kedzie-Homan,,41.874341,-87.70604
30050,40260.0,State/Lake,,41.88574,-87.627835
30051,40260.0,State/Lake,,41.88574,-87.627835
30052,40270.0,Main,,42.033456,-87.679538
30053,40270.0,Main,,42.033456,-87.679538
30054,40280.0,Central-Green,,41.887389,-87.76565
30055,40280.0,Central-Green,,41.887389,-87.76565
30056,40290.0,Ashland/63rd,,41.77886,-87.663766
30057,40290.0,Ashland/63rd,,41.77886,-87.663766
30058,40300.0,Indiana,,41.821732,-87.621371
30059,40300.0,Indiana,,41.821732,-87.621371
30060,40310.0,Western-Orange,,41.804546,-87.684019
30061,40310.0,Western-Orange,,41.804546,-87.684019
30062,40320.0,Division,,41.903355,-87.666496
30063,40320.0,Division,,41.903355,-87.666496
30064,40330.0,Grand-Red,,41.891665,-87.628021
30065,40330.0,Grand-Red,,41.891665,-87.628021
30066,40340.0,Berwyn,,41.977984,-87.658668
30067,40340.0,Berwyn,,41.977984,-87.658668
30068,40350.0,UIC-Halsted,,41.875474,-87.649707
30069,40350.0,UIC-Halsted,,41.875474,-87.649707
30070,40360.0,Southport,,41.943744,-87.663619
30071,40360.0,Southport,,41.943744,-87.663619
30072,40370.0,Washington-Blue,,41.883164,-87.62944
30073,40370.0,Washington-Blue,,41.883164,-87.62944
30074,40380.0,Clark/Lake (Elevated),,41.885737,-87.630886
30075,40380.0,Clark/Lake (Elevated),,41.885737,-87.630886
30076,40390.0,Forest Park,,41.874257,-87.817318
30077,40390.0,Forest Park,,41.874257,-87.817318
30078,40400.0,Noyes,,42.058282,-87.683337
30079,40400.0,Noyes,,42.058282,-87.683337
30080,41400.0,Roosevelt (Elevated),,41.867405,-87.62659
30081,41400.0,Roosevelt (Elevated),,41.867405,-87.62659
30082,40420.0,Cicero-Cermak,,41.85182,-87.745336
30083,40420.0,Cicero-Cermak,,41.85182,-87.745336
30084,40430.0,Clinton-Blue,,41.875539,-87.640984
30085,40430.0,Clinton-Blue,,41.875539,-87.640984
30086,40440.0,California-Cermak,,41.854109,-87.694774
30087,40440.0,California-Cermak,,41.854109,-87.694774
30088,40450.0,95th,,41.722377,-87.624342
30089,40450.0,95th,,41.722377,-87.624342
30090,40460.0,Merchandise Mart,,41.888969,-87.633924
30091,40460.0,Merchandise Mart,,41.888969,-87.633924
30092,40470.0,Racine,,41.87592,-87.659458
30093,40470.0,Racine,,41.87592,-87.659458
30094,40480.0,Cicero-Green,,41.886519,-87.744698
30095,40490.0,Grand-Blue,,41.891189,-87.647578
30096,40490.0,Grand-Blue,,41.891189,-87.647578
30099,40510.0,Garfield-Green,,41.795172,-87.618327
30100,40510.0,Garfield-Green,,41.795172,-87.618327
30101,40520.0,Foster,,42.05416,-87.68356
30102,40520.0,Foster,,42.05416,-87.68356
30103,40530.0,Diversey,,41.932732,-87.653131
30104,40530.0,Diversey,,41.932732,-87.653131
30105,40540.0,Wilson-North Inner,,41.964273,-87.657588
30106,40540.0,Wilson-South Inner,,41.964273,-87.657588
30107,40550.0,Irving Park-Blue,,41.952925,-87.729229
30108,40550.0,Irving Park-Blue,,41.952925,-87.729229
30109,40560.0,Jackson-Red,,41.878153,-87.627596
30110,40560.0,Jackson-Red,,41.878153,-87.627596
30111,40570.0,California-O'Hare,,41.921939,-87.69689
30112,40570.0,California-O'Hare,,41.921939,-87.69689
30113,40580.0,54th/Cermak,,41.85177331,-87.75669201
30114,40580.0,54th/Cermak,,41.85177331,-87.75669201
30115,40590.0,Damen-O'Hare,,41.909744,-87.677437
30116,40590.0,Damen-O'Hare,,41.909744,-87.677437
30117,40600.0,Kostner,,41.853751,-87.733258
30118,40600.0,Kostner,,41.853751,-87.733258
30119,40610.0,Ridgeland,,41.887159,-87.783661
30120,40610.0,Ridgeland,,41.887159,-87.783661
30121,40630.0,Clark/Division,,41.90392,-87.631412
30122,40630.0,Clark/Division,,41.90392,-87.631412
30125,40650.0,North/Clybourn,,41.910655,-87.649177
30126,40650.0,North/Clybourn,,41.910655,-87.649177
30127,40660.0,Armitage,,41.918217,-87.652644
30128,40660.0,Armitage,,41.918217,-87.652644
30129,40670.0,Western-O'Hare,,41.916157,-87.687364
30130,40670.0,Western-O'Hare,,41.916157,-87.687364
30131,40680.0,Adams/Wabash,,41.879507,-87.626037
30132,40680.0,Adams/Wabash,,41.879507,-87.626037
30133,40690.0,Dempster,,42.041655,-87.681602
30134,40690.0,Dempster,,42.041655,-87.681602
30135,40700.0,Laramie,,41.887163,-87.754986
30136,40700.0,Laramie,,41.887163,-87.754986
30137,40710.0,Chicago-Brown,,41.89681,-87.635924
30138,40710.0,Chicago-Brown,,41.89681,-87.635924
30139,40720.0,East 63rd-Cottage Grove,,41.780309,-87.605857
30140,40720.0,East 63rd-Cottage Grove,,41.780309,-87.605857
30141,40730.0,Washington/Wells,,41.882695,-87.63378
30142,40730.0,Washington/Wells,,41.882695,-87.63378
30143,40740.0,Western-Cermak,,41.854225,-87.685129
30144,40740.0,Western-Cermak,,41.854225,-87.685129
30145,40750.0,Harlem-O'Hare,,41.98227,-87.8089
30146,40750.0,Harlem-O'Hare,,41.98227,-87.8089
30147,40760.0,Granville,,41.993664,-87.659202
30148,40760.0,Granville,,41.993664,-87.659202
30149,40770.0,Lawrence,,41.969139,-87.658493
30150,40770.0,Lawrence,,41.969139,-87.658493
30151,40780.0,Central Park,,41.853839,-87.714842
30152,40780.0,Central Park,,41.853839,-87.714842
30153,40790.0,Monroe-Blue,,41.880703,-87.629378
30154,40790.0,Monroe-Blue,,41.880703,-87.629378
30155,40800.0,Sedgwick,,41.910409,-87.639302
30156,40800.0,Sedgwick,,41.910409,-87.639302
30157,40810.0,Illinois Medical District,,41.875706,-87.673932
30158,40810.0,Illinois Medical District,,41.875706,-87.673932
30159,40820.0,Rosemont,,41.983507,-87.859388
30160,40820.0,Rosemont,,41.983507,-87.859388
30161,40830.0,18th,,41.857908,-87.669147
30162,40830.0,18th,,41.857908,-87.669147
30163,40840.0,South Boulevard,,42.027612,-87.678329
30164,40840.0,South Boulevard,,42.027612,-87.678329
30165,40850.0,Harold Washington Library,,41.876862,-87.628196
30166,40850.0,Harold Washington Library,,41.876862,-87.628196
30167,40870.0,Francisco,,41.966046,-87.701644
30168,40870.0,Francisco,,41.966046,-87.701644
30169,40880.0,Thorndale,,41.990259,-87.659076
30170,40880.0,Thorndale,,41.990259,-87.659076
30171,40890.0,O'Hare,,41.97766526,-87.90422307
30172,40890.0,O'Hare,,41.97766526,-87.90422307
30173,40900.0,Howard,,42.019063,-87.672892
30174,40900.0,Howard,,42.019063,-87.672892
30175,40900.0,Howard,,42.019063,-87.672892
30176,40900.0,Howard,,42.019063,-87.672892
30177,40910.0,63rd,,41.780536,-87.630952
30178,40910.0,63rd,,41.780536,-87.630952
30179,40920.0,Pulaski-Forest Park,,41.873797,-87.725663
30180,40920.0,Pulaski-Forest Park,,41.873797,-87.725663
30181,40930.0,Midway,,41.78661,-87.737875
30182,40930.0,Midway,,41.78661,-87.737875
30183,40940.0,Halsted-Green,,41.778943,-87.644244
30184,40940.0,Halsted-Green,,41.778943,-87.644244
30185,40960.0,Pulaski-Orange,,41.799756,-87.724493
30186,40960.0,Pulaski-Orange,,41.799756,-87.724493
30187,40970.0,Cicero-Forest Park,,41.871574,-87.745154
30188,40970.0,Cicero-Forest Park,,41.871574,-87.745154
30189,40980.0,Harlem-Forest Park,,41.87349,-87.806961
30190,40980.0,Harlem-Forest Park,,41.87349,-87.806961
30191,40990.0,69th,,41.768367,-87.625724
30192,40990.0,69th,,41.768367,-87.625724
30193,41000.0,Cermak-Chinatown,,41.853206,-87.630968
30194,41000.0,Cermak-Chinatown,,41.853206,-87.630968
30195,41010.0,Rockwell,,41.966115,-87.6941
30196,41010.0,Rockwell,,41.966115,-87.6941
30197,41020.0,Logan Square,,41.929728,-87.708541
30198,41020.0,Logan Square,,41.929728,-87.708541
30199,41030.0,Polk,,41.871551,-87.66953
30200,41030.0,Polk,,41.871551,-87.66953
30201,41040.0,Kedzie-Cermak,,41.853964,-87.705408
30202,41040.0,Kedzie-Cermak,,41.853964,-87.705408
30203,41050.0,Linden,,42.073153,-87.69073
30204,41050.0,Linden,,42.073153,-87.69073
30205,41060.0,Ashland-Orange,,41.839234,-87.665317
30206,41060.0,Ashland-Orange,,41.839234,-87.665317
30207,41070.0,Kedzie-Green,,41.884321,-87.706155
30208,41070.0,Kedzie-Green,,41.884321,-87.706155
30209,41080.0,47th-Green,,41.809209,-87.618826
30210,41080.0,47th-Green,,41.809209,-87.618826
30211,41090.0,Monroe-Red,,41.880745,-87.627696
30212,41090.0,Monroe-Red,,41.880745,-87.627696
30213,41120.0,35-Bronzeville-IIT,,41.831677,-87.625826
30214,41120.0,35-Bronzeville-IIT,,41.831677,-87.625826
30215,41130.0,Halsted-Orange,,41.84678,-87.648088
30216,41130.0,Halsted-Orange,,41.84678,-87.648088
30217,41140.0,King Drive,,41.78013,-87.615546
30218,41140.0,King Drive,,41.78013,-87.615546
30219,41150.0,Kedzie-Orange,,41.804236,-87.704406
30220,41150.0,Kedzie-Orange,,41.804236,-87.704406
30221,41160.0,Clinton-Green,,41.885678,-87.641782
30222,41160.0,Clinton-Green,,41.885678,-87.641782
30223,41170.0,Garfield-Red,,41.79542,-87.631157
30224,41170.0,Garfield-Red,,41.79542,-87.631157
30225,41180.0,Kedzie-Brown,,41.965996,-87.708821
30226,41180.0,Kedzie-Brown,,41.965996,-87.708821
30227,41190.0,Jarvis,,42.015876,-87.669092
